Row	Column	NT	Info
29	2	NT12181	
29	3	NT12079	
29	4	NT12099	
29	5	NT12014	
29	6	NT12182	
29	7	NT12070	
29	8	NT12119	
29	9	NT12015	
29	10	NT12183	
29	11	NT12056	
29	12	NT12125	
29	13	NT12016	
29	14	NT12184	
29	15	NT12024	
29	16	NT12179	
29	17	NT12089	
29	18	NT12185	
29	19	NT12004	
29	20	NT12139	
29	21	NT12090	
29	22	NT12186	
29	23	NT12074	
29	24	NT12120	
29	25	NT12091	
29	26	NT12187	
29	27	NT12012	
29	28	NT12122	
29	29	NT12092	
29	30	NT12188	
29	31	NT12032	
29	32	NT12184	
29	33	NT12093	
29	34	NT12189	
29	35	NT12096	
29	36	NT12175	
29	37	NT12094	
29	38	NT12190	
29	39	NT12057	
29	40	NT12109	
29	41	NT12095	
29	42	NT12191	
29	43	NT12034	
29	44	NT12118	
29	45	NT12096	
29	46	NT12192	
29	47	NT12005	
29	48	NT12185	
30	1	NT12222	
30	2	NT12428	
30	3	NT12343	
30	4	NT12419	
