C1	C2	A	B	C
Lb	Mpn	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Lb	Non	-	Inc_25hrs/Sep_26	Inc_plate8/Oct_16
Lb	Ntf	Inc_30hrs/Sep_25	-	-
Lb	PeG	-	-	-
Lb	Phf	Inc_30hrs/Sep_25	Inc_plate8/Oct_16	Inc_24hr2/Oct_16
Lb	Pie	Inc_29hrs/Oct_27	-	-
Lb	Pip	Inc_46hrs/Nov_14	-	-
Lb	Ple	Inc_24hrs/Oct_27	Inc_28hrs/Nov_05	-
Lb	Pq	Inc_24hrs/Oct_27	Inc_P825hrs/Nov_24	-
Lb	Prm	Inc_24hrs/Sep_18	Inc_plate8/Oct_16	Inc_25hrs/Sep_26
Lb	Psa	Inc_24hrs/Oct_27	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13
Lb	Ptm	Inc_24hrs/Sep_20	Inc_plate8/Oct_16	-
Lb	Ptz	-	-	Inc_27hrs/Nov_13
Lb	Pvp	Inc_24hrs/Sep_17	Inc_27hrs/Sep_18	-
Lb	Py	Inc_24hrs/Sep_17	Inc_31hrs/Sep_18	Inc_plate8/Oct_16
Lb	Rm	Inc_28hrs/Sep_17	Inc_31hrs/Sep_18	Inc_33hrs/Sep_19
Lb	Spc	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Lb	Tcp	Inc_24hrs/Oct_27	Inc_24hrs/Nov_05	Inc_27hrs/Nov_13
Lb	Tg	Inc_28hrs/Sep_17	Inc_27hrs/Sep_18	Inc_25hrs/Sep_19
Lb	Thi	Inc_28hrs/Sep_17	Inc_27hrs/Sep_18	Inc_30hrs/Sep_25
Lb	Thl	Inc_P825hrs/Nov_24	Inc_24hrs/Sep_18	-
Lb	Tmp	Inc_27hrs/Nov_13	-	-
Lb	Tob	Inc_24hrs/Oct_27	Inc_28hrs/Nov_05	-
Lb	Ty	Inc_24hrs/Sep_17	Inc_25hrs/Sep_19	Inc_24hrs/Sep_25
Lb	Vcm	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Lb	Vll	Inc_24hrs/Oct_27	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13
Met	C1	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Met	C2	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Met	C3	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Met	C4	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Mop	AB	-	-	Inc_11.5hrs/Nov_05
Mop	AF	Inc_11.5hrs/Nov_05	-	-
Mop	Com	-	-	Inc_12hrs/Nov_05
Mop	FB	-	Inc_11hrs/Nov_05	Inc_12hrs/Nov_11
Mop	Gnp	Inc_12hrs/Nov_24	Inc_11.5hrs/Nov_05	-
Mop	N4	Inc_18hrs/Nov_11	Inc_xxhrs/Nov_11	Inc_P821hrs/Nov_24
Mop	Ns	-	-	-
Mop	pH5	-	-	Inc_17.5hrs/Nov_11
Mop	pH9	Inc_20.5hrs/Nov_05B	Inc_18hrs/Nov_11	Inc_xxhrs/Nov_11
Mpc	Fma	Inc_43hrs/Nov_06	Inc_35hrs/Nov_12	Inc_33hrs/Nov_12
Mpc	Gcs	-	-	-
Mpc	Lme	-	-	-
Mpc	Sca	-	-	-
Mpn	Ala	-	-	-
Mpn	Arg	-	-	-
Mpn	Gcs	-	-	-
Mpn	Gln	Inc_P821hrs/Nov_24	Inc_P821hrs/Nov_24	Inc_33hrs/Nov_12
Mpn	Gly	-	-	-
Mpn	Pro	-	-	-
Mpn	Ser	-	-	-
Mpn	Trp	-	-	-
Mpp	Dgc	Inc_11.5hrs/Nov_05	Inc_11hrs/Nov_05	-
Mpp	N4	-	-	-
Mpp	Ns	-	-	-
Mpp	Tmt	-	-	-
Mpp	Tph	-	-	-
N4	Bp	Inc_28hrs/Sep_17	Inc_31hrs/Sep_18	Inc_25hrs/Sep_19
N4	Pq	Inc_46hrs/Sep_18	Inc_53hrs/Sep_19	Inc_57hrs/Sep_20
N4	Rt	Inc_46hrs/Sep_18	Inc_57hrs/Sep_19	Inc_57hrs/Sep_20
N4	T37	Inc_P821hrs/Nov_24	Inc_12hrs/Nov_24	-
N4	T40	Inc_13hrs/Nov_24	-	-
N4	Uv	Inc_46hrs/Sep_18	Inc_48hrs/Sep_20	Inc_57hrs/Sep_20
Nov	Azt	-	-	-
Ns	Bp	Inc_28hrs/Sep_17	Inc_31hrs/Sep_18	-
Ns	Bs	Inc_24hrs/Sep_17	Inc_24hrs/Sep_18	-
Ns	Cef	Inc_24hrs/Nov_05	Inc_27hrs/Nov_13	-
Ns	Fu	Inc_anaer/Nov_12	Inc_anaer/Nov_12	Inc_anaer/Nov_12
Ns	Pq	Inc_24hrs/Sep_17	Inc_24hrs/Sep_18	-
Ns	Rt	Inc_24hrs/Sep_17	Inc_24hrs/Sep_18	-
Ns	T37	Inc_12hrs/Nov_24	-	-
Ns	Uv	Inc_24hrs/Sep_17	Inc_24hrs/Sep_18	Inc_25hrs/Sep_19
Ns	pH5	Inc_24hrs/Sep_17	Inc_24hrs/Sep_18	-
Pms	Prc	Inc_53hrs/Nov_06	Inc_53hrs/Nov_06	Inc_3pm/Nov_14
Prc	Rfm	Inc_35hrs/Nov_05B	Inc_46hrs/Nov_14	Inc_46hrs/Nov_14
Prc	Tmt	Inc_27hrs/Nov_13	Inc_46hrs/Nov_14	Inc_46hrs/Nov_14
Spc	Ffm	Inc_35hrs/Nov_05B	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Spc	Ntf	Inc_28hrs/Nov_05	-	Inc_27hrs/Nov_13
Spc	Van	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Spm	Tmt	Inc_24hrs/Oct_27	-	-
Sxt	Rfm	Inc_27hrs/Oct_28	Inc_27hrs/Nov_13	Inc_28hrs/Nov_05
Tmt	A22	Inc_24hrs/Oct_27	Inc_29hrs/Oct_27	Inc_P825hrs/Nov_24
Tmt	Cm	Inc_24hrs/Oct_27	Inc_24hrs/Oct_27	Inc_P825hrs/Nov_24
Tmt	Cph	Inc_24hrs/Oct_27	Inc_24hrs/Oct_27	Inc_P825hrs/Nov_24
Tmt	Ffm	Inc_24hrs/Oct_27	Inc_24hrs/Oct_27	Inc_P825hrs/Nov_24
Tmt	Im	Inc_24hrs/Oct_27	Inc_24hrs/Oct_27	-
Tmt	Py	Inc_24hrs/Oct_27	Inc_24hrs/Oct_27	-
To	C1	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
To	C2	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
To	C3	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
To	C4	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
jj	jj	-	-	-
pH5	Bp	-	-	-
pH5	Bs	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
pH5	Fu	Inc_32hrs/Nov_05B	Inc_21hrs/Nov_05B	-
pH5	Rt	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
pH5	T37	-	Inc_11hrs/Nov_11	Inc_12hrs/Nov_11
pH5	T40	Inc_12hrs/Nov_11	-	Inc_13hrs/Nov_11
pH5	Uv	Inc_28hrs/Nov_05	Inc_28hrs/Nov_05	Inc_57hrs/Nov_24
pH9	A22	Inc_35hrs/Nov_05B	Inc_35hrs/Nov_05B	Inc_46hrs/Nov_14
pH9	Cef	Inc_28hrs/Nov_05	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13
pH9	Fu	-	Inc_21hrs/Nov_05B	-
